Timecode,BlendshapeCount,CheekSquintRight,EyeSquintRight,MouthDimpleRight,NoseSneerRight,MouthSmileRight,JawOpen,MouthUpperUpRight,BrowDownRight,CheekSquintLeft,EyeSquintLeft,MouthDimpleLeft,NoseSneerLeft,MouthSmileLeft,MouthUpperUpLeft,BrowDownLeft
02:49:58:01.776,61,0.030997981,0.036062415,0.012491227,0.03855931,0.034919721,0.03057348,0.01425675,8.23e-05,0.030997981,0.036062415,0.012491227,0.03855931,0.034919721,0.01425675,8.23e-05
02:49:58:02.777,61,0.030997436,0.036207595,0.012566562,0.038560033,0.034923019,0.030887837,0.014293047,8.23e-05,0.030997436,0.036207595,0.012566562,0.038560033,0.034923019,0.014293047,8.23e-05
02:49:58:03.779,61,0.030905988,0.036205673,0.012540211,0.038449731,0.034760509,0.03083806,0.014280066,7.26e-05,0.030905988,0.036205673,0.012540211,0.038449731,0.034760509,0.014280066,7.26e-05
02:49:58:04.781,61,0.030751446,0.036186523,0.012534691,0.038369382,0.034742539,0.030785486,0.014278883,0.000177754,0.030751446,0.036186523,0.012534691,0.038369382,0.034742539,0.014278883,0.000177754
02:49:58:05.782,61,0.030783363,0.036376605,0.012569492,0.038327415,0.034577699,0.030772262,0.014287535,0.000177754,0.030783363,0.036376605,0.012569492,0.038327415,0.034577699,0.014287535,0.000177754
02:49:58:06.784,61,0.030885822,0.036525895,0.012606047,0.038368348,0.034657847,0.030865865,0.014351332,0.0001443,0.030885822,0.036525895,0.012606047,0.038368348,0.034657847,0.014351332,0.0001443
02:49:58:07.786,61,0.030722965,0.03622359,0.012668153,0.038068959,0.034535437,0.030583668,0.014268359,6.75e-05,0.030722965,0.03622359,0.012668153,0.038068959,0.034535437,0.014268359,6.75e-05
02:49:58:08.788,61,0.030696472,0.036313592,0.01273724,0.03806071,0.034701235,0.030422293,0.014340494,0.000213044,0.030696472,0.036313592,0.01273724,0.03806071,0.034701235,0.014340494,0.000213044
02:49:58:09.789,61,0.031001389,0.036733863,0.012796743,0.038178221,0.034783781,0.030562678,0.014538057,0.000213044,0.031001389,0.036733863,0.012796743,0.038178221,0.034783781,0.014538057,0.000213044
02:49:58:10.791,61,0.030870648,0.036562403,0.012893016,0.037958581,0.034658196,0.030334425,0.014449821,0.000177754,0.030870648,0.036562403,0.012893016,0.037958581,0.034658196,0.014449821,0.000177754
02:49:58:11.792,61,0.030929108,0.036643213,0.012904401,0.037990998,0.034755944,0.03036281,0.01448598,0.0001443,0.030929108,0.036643213,0.012904401,0.037990998,0.034755944,0.01448598,0.0001443
02:49:58:12.794,61,0.030981979,0.036927185,0.012962075,0.037979515,0.034795494,0.030410625,0.014499951,7.26e-05,0.030981979,0.036927185,0.012962075,0.037979515,0.034795494,0.014499951,7.26e-05
02:49:58:13.796,61,0.030894046,0.036921291,0.012903596,0.037883804,0.034319373,0.030367633,0.014450491,6.75e-05,0.030894046,0.036921291,0.012903596,0.037883804,0.034319373,0.014450491,6.75e-05
02:49:58:14.797,61,0.030972888,0.037134555,0.012945371,0.03796598,0.034415309,0.030492433,0.014486766,6.75e-05,0.030972888,0.037134555,0.012945371,0.03796598,0.034415309,0.014486766,6.75e-05
02:49:58:15.799,61,0.031114802,0.03727722,0.012995573,0.038045361,0.034411483,0.030590428,0.014503982,0.000106584,0.031114802,0.03727722,0.012995573,0.038045361,0.034411483,0.014503982,0.000106584
02:49:58:16.800,61,0.031183723,0.037338819,0.013004091,0.038074549,0.034327616,0.030661239,0.014517457,0.000179053,0.031183723,0.037338819,0.013004091,0.038074549,0.034327616,0.014517457,0.000179053
02:49:58:17.802,61,0.031235941,0.037449335,0.013037665,0.0381062,0.034391736,0.030715143,0.014539689,0.000179053,0.031235941,0.037449335,0.013037665,0.0381062,0.034391736,0.014539689,0.000179053
02:49:58:18.803,61,0.031300475,0.037555247,0.013057348,0.038145656,0.034388817,0.030779119,0.014550792,0.000216306,0.031300475,0.037555247,0.013057348,0.038145656,0.034388817,0.014550792,0.000216306
02:49:58:19.805,61,0.031333941,0.03749831,0.013063709,0.038130969,0.035158566,0.030790403,0.014563017,0.0,0.031333941,0.03749831,0.013063709,0.038130969,0.035158566,0.014563017,0.0
02:49:58:20.807,61,0.031332867,0.037549929,0.013058486,0.038124533,0.03523962,0.030763391,0.014565637,0.0,0.031332867,0.037549929,0.013058486,0.038124533,0.03523962,0.014565637,0.0
02:49:58:21.808,61,0.031344751,0.037537451,0.013080307,0.038114245,0.035350289,0.030753783,0.014549263,0.0,0.031344751,0.037537451,0.013080307,0.038114245,0.035350289,0.014549263,0.0
